# 665143e0-7eaf-4b80-80f3-75b0c63cc871
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -310.6223248; -1810.3937938; -3.1245019; -0.0000018; 64.0108663; 0.3047643
1.9993883; -310.5881590; -1812.3928898; -3.1245055; -0.0000018; 64.0203849; 0.3038736
3.9987765; -310.5540004; -1814.3919861; -3.1245091; -0.0000018; 64.0298744; 0.3029825
5.9981648; -310.5198491; -1816.3910831; -3.1245128; -0.0000018; 64.0393346; 0.3011692
7.9975531; -310.4857052; -1818.3901794; -3.1245165; -0.0000019; 64.0487367; 0.3002884
9.9969414; -310.4515687; -1820.3892763; -3.1245203; -0.0000019; 64.0581101; 0.2994082
11.9963296; -310.4174400; -1822.3883737; -3.1245242; -0.0000020; 64.0674545; 0.2976183
13.9957179; -310.3833191; -1824.3874703; -3.1245281; -0.0000020; 64.0767418; 0.2967473
15.9951062; -310.3492062; -1826.3865676; -3.1245322; -0.0000021; 64.0860006; 0.2958777
17.9944944; -310.3151015; -1828.3856654; -3.1245363; -0.0000021; 64.0952308; 0.2941110
19.9938827; -310.2810052; -1830.3847625; -3.1245406; -0.0000022; 64.1044047; 0.2932495
21.9932710; -310.2469175; -1832.3838602; -3.1245449; -0.0000022; 64.1135504; 0.2923906
23.9926593; -310.2128386; -1834.3829584; -3.1245494; -0.0000023; 64.1226679; 0.2906466
25.9920475; -310.1787687; -1836.3820560; -3.1245540; -0.0000023; 64.1317299; 0.2897947
27.9914358; -310.1447081; -1838.3811541; -3.1245587; -0.0000024; 64.1407639; 0.2889461
29.9908241; -310.1106570; -1840.3802528; -3.1245635; -0.0000024; 64.1497703; 0.2872246
31.9902124; -310.0766156; -1842.3793508; -3.1245684; -0.0000025; 64.1587217; 0.2863821
33.9896006; -310.0425841; -1844.3784495; -3.1245735; -0.0000026; 64.1676457; 0.2855437
35.9889889; -310.0085629; -1846.3775487; -3.1245786; -0.0000026; 64.1765423; 0.2838443
37.9883772; -309.9745523; -1848.3766473; -3.1245840; -0.0000027; 64.1853847; 0.2830112
39.9877654; -309.9405524; -1850.3757464; -3.1245895; -0.0000028; 64.1942000; 0.2821830
41.9871537; -309.9065637; -1852.3748462; -3.1245951; -0.0000029; 64.2029882; 0.2805054
43.9865420; -309.8725864; -1854.3739453; -3.1246009; -0.0000029; 64.2117230; 0.2796814
45.9859303; -309.8386208; -1856.3730451; -3.1246068; -0.0000030; 64.2204310; 0.2788632
47.9853185; -309.8046673; -1858.3721454; -3.1246130; -0.0000031; 64.2291123; 0.2772072
49.9847068; -309.7707262; -1860.3712452; -3.1246193; -0.0000032; 64.2377409; 0.2763923
